30/60/90 Fitness,656 6th Ave,"New York,",NY,10011
39th Avenue Dance and Fitness,38-12 30th St,"Long Island City,",NY,11101
92Y - May Center,1395 Lexington Ave,"New York,",NY,10128
Aerial Arts NYC,235 East 49th Street,"New York,",NY,10017
Aerial Fitness and Natural Wellness Center,38 West Main Street,"Riverhead,",NY,11901
a•line pilates,"236 Carroll Street, Parlor Floor","Brooklyn,",NY,11231
American Liberty Ballet School,115 Macdougal Street Studio 2d,"New York,",NY,10012
Area Yoga - Brooklyn Heights,144 Montague Street,"Brooklyn,",NY,11201
Area Yoga - Carroll Gardens,274 Smith Street,"Brooklyn,",NY,11231
Area Yoga - Fort Greene,334 Myrtle Avenue,"Brooklyn,",NY,11205
Area Yoga - Park Slope,45 5th Avenue,"Brooklyn,",NY,11217
Arthur Murray Dance,"1845 Broadway, 4th Floor","New York,",NY,10023
Art In Motion Dance Co,Pearl Studios (500 8th Avenue) 12th Floor,"New York,",NY,10018
Ashtanga Yoga Montclair,127 Valley Road,"Montclair,",NJ,07042
Asphalt Green - Battery Park City,212 North End Ave,"New York,",NY,10282
Asphalt Green - Upper East Side,555 E 90th St,"New York,",NY,10128
Atmananda E.23rd,112 East 23rd Street 2nd floor,"New York,",NY,10010
Atmananda Yoga Sequence,226 East 54th Street 7 floor,"New York,",NY,10022
Avea Pilates - East Village,"130 East 7th Street 2nd Floor, Suite 1","New York,",NY,10009
Avea Pilates - West Village,"3 West 13th Street, Floor 2","New York,",NY,10011
Ballet Academy East,1651 3rd Avenue,"New York,",NY,10128
Banana Skirt Productions,Multiple Locations - 500 8th Ave 3rd Floor (See Class Descriptions),"New York,",NY,10018
Barre TriBeCa,"28 Warren Street, 2nd Floor","New York ,",NY,10007
Barry's Bootcamp - Noho,419 Lafayette St.,"New York,",NY,10003
Barry's Bootcamp - Park Ave South,107 East 27th St,"New York,",NY,10016
Barry's Bootcamp - Tribeca,1 York St.,"New York,",NY,10013
Barry's Bootcamp - UES,1216 2nd Ave,"New York,",NY,10065
Barry's Bootcamp - Upper West Side,72-74 W. 69th St,"New York,",NY,10023
befitnyc,"2726 Broadway, 2nd Floor","New York,",NY,10025
BellaVita,Multiple Locations (See Class Titles),"New York,",NY,10001
Beyond Movement Fitness,46-01 5th street 2nd floor,"Long Island City,",NY,11101
BK Pilates - Flatiron,"16 W 23rd Street, 3rd Floor","New York,",NY,10010
BK Pilates - Marine Park,3036 Nostrand Avenue,"Brooklyn,",NY,11229
BK Pilates - Tribeca,"406 Broadway, 2nd Floor","New York,",NY,10013
BK Pilates - Williamsburg,"710 Grand Street, First Floor","Brooklyn,",NY,11211
bodē - Flatiron,182 Fifth Avenue,"New York,",NY,10010
bodē - Upper East Side,173 East 83rd Street,"New York,",NY,10028
bodē - Upper West Side,143 West 72nd Street,"New York,",NY,10023
Bodies by Pilates NYC,11 Maiden Lane,"New York,",NY,10038
BODIESYNERGY,Bartel-Pritchard Square - Prospect Park Southwest,"Brooklyn,",NY,11215
Body Evolutions,266 East 10th Street,"New York,",NY,10009
BodyLine Pilates - Manhattan,37 West 26th Street Suite 210,"New York,",NY,10010
BodyLine Pilates - Staten Island,1361 Hylan Blvd,"Staten Island,",NY,10305
Body Space Fitness,47 W 14th St,"New York,",NY,10011
"BollyX, The Bollywood Workout",22 W. 19th Street,"New York,",NY,10016
Box + Flow,55 Bond Street (Floor 2),"New York,",NY,10012
Brazen Athletics,1317 Willow Avenue,"Hoboken,",NJ,07030
Brazen Athletics,18 Passaic Avenue #9,"Fairfield,",NJ,07004
Breakin Boundaries,11 Newel Street,"Brooklyn,",NY,11222
Brick New York - Grand Central,465 Lexington Ave,"New York,",NY,10017
Broadway Bodies,"50 Lexington Avenue, Suite LL1","New York,",NY,10010
Broadway Dance Center,"322 West 45th Street, 3rd Floor (btw 8th & 9th Ave)","New York,",NY,10036
Brooklyn Athletic Club,8 Berry Street,"Brooklyn,",NY,11249
Brooklyn Boulders - Queensbridge,23-10 41st Avenue,"Long Island City,",NY,11101
Brooklyn Bridge Bike Rentals,110 South St,"New York,",NY,10038
Brooklyn Heights Pilates,"158 Montague St., 4th Floor","Brooklyn,",NY,11201
Brooklyn Strength,"69 Columbia Street, 3rd Floor","Brooklyn,",NY,11201
Brooklyn Total Fitness,289 Livingston Street,"Brooklyn,",NY,11217
Brooklyn Zoo NY,230 Bogart St.,"Brooklyn,",NY,11206
brrrn,107 W. 20th Street,"NY,",NY,10011
Brukwine,"Ripley Grier - 520 8th Ave, 16th Floor","New York,",NY,10018
BurnStrong,46 West 46th Street 4th Floor Front,"New York,",NY,10036
Byklyn,258 Flatbush Ave,"Brooklyn,",NY,11217
CardioYoga,521 South Livingston Ave,"Livingston,",NJ,07039
CBXT,10 Hanover Square,"New York,",NY,10005
CEA GYM,200-03 32nd Avenue,"Bayside,",NY,11361
Central Park Bike Rentals,56 W. 56th Street,"New York,",NY,10019
Chelsea Movements,231 West 18th Street,"New York,",NY,10011
CITYROW UES,1409 3rd Avenue,"New York,",NY,10075
CKO Kickboxing Carroll Gardens,562 Court St,"Brooklyn,",NY,11231
CKO Kickboxing Park Slope,102 Flatbush Ave,"Brooklyn,",NY,11217
Clarity Fitness,3515 Park Ave,"Union City,",NJ,07087
CLIQUE Fitness,80-21 164TH Street,"Jamaica Estates,",NY,11432
Complete Body,10 Hanover Square,"New York,",NY,10005
Complete Body Midtown,301 East 57th st.,"New York,",NY,10022
ConBody,"121 Ludlow Street, 2nd floor","New York,",NY,10002
Concrete Jungle Strength and Conditioning,"403 East 91st Street, Fourth Floor","New York,",NY,10128
Core Rhythm Fitness,227 Mulberry Street,"New York,",NY,10012
CP Burn - 1st Ave,1010 1st Avenue,"New York,",NY,10022
CP Burn - 79th St,"187 East 79th Street, 2nd Floor","New York,",NY,10075
Crank LIC,4630 Center Boulevard,"Queens,",NY,11109
Crank NYC,1658 3rd Avenue,"New York,",NY,10128
Crossfit Concrete Jungle,7 Bruckner Boulevard,"Bronx,",NY,10454
CrossFit Outbreak - Bed-Stuy,492 Throop Ave.,"Brooklyn,",NY,11221
CrossFit Outbreak - Clinton Hill,10 Grand Ave,"Brooklyn,",NY,11205
CrossFit Outbreak - East Williamsburg,208 Frost Street,"Brooklyn,",NY,11211
CrossFit Outbreak - Williamsburg,415 Wythe Avenue,"Williamsburg,",NY,11249
Current,333 Church Street,"New York,",NY,10013
CycleMixx,837 Jersey Avenue Suite 3,"Jersey City,",NJ,07310
Dance Cardio Plus,"440 Lafayette Street, Floors 3 & 4","New York,",NY,10003
Dancewave,45 4th Avenue,"Brooklyn,",NY,11217
Dharma Yoga Center - New York,61 W 23rd Street,"New York,",NY,10010
Diva Dance NYC,"500 8th Avenue, 12th Floor","New York,",NY,10018
DivaDance NYC,"440 Lafayette Street, Studio 4G","New York,",NY,10003
Doonya: The Bollywood Workout,Multiple Locations (See Class Titles),"New York,",NY,10001
Drive495,"495 Broadway, Floor 2","NEW YORK,",NY,10012
Dynamic Athletics,25 Old Kings Hwy North,"Darien,",CT,06820
EAST END ROW - UES,139 East 61st Street,"New York,",NY,10021
East River Pilates Studio,"235 South 1st Street, Unit 1E (corner of Roebling St)","Brooklyn,",NY,11211
Elegance In Dance,37 W 26th St 9th Fl,"New York,",NY,10010
Elements Fitness Studio,154 E 64th St,"New York,",NY,10065
Elite Fitness Studio,111 Union St,"New York,",NY,11231
elliptica - Fairfield,"85 Mill Plain Road Sportsplex, Suite Q","Fairfield,",CT,06824
Epic Hybrid Training - 54th Street,"226 East 54th St, 3rd Floor","New York,",NY,10022
Everlast Lab,358 Newark Street,"Hoboken,",NJ,07030
Everybodyfights,"295 Madison Avenue, E 41st and Madison","New York,",NY,10017
Everyday Ballet,Multiple Locations (See Class Titles),"New York,",NY,10013
EVF - Columbus Circle,555 West 59th Street,"New York,",NY,10019
EVF - Upper East Side,1623 York Avenue,"New York,",NY,10028
Evolution Pilates,2 Shore Road,"Port Washington,",NY,11050
Evolve Athletic Club,188 E Post Rd.,"White Plains,",NY,10601
Evolve Fitness,316 East 53rd Street | 109 East 50th street,"New York,",NY,10022
Exceed - Tribeca,97 Reade Street,"New York,",NY,10013
Exceed - Upper East Side,1477 Third Avenue,"New York,",NY,10028
FITCURE,"4 W 18th St, Floor 2","New York,",NY,10011
Fithouse - Tribeca,93 Worth Street,"New York,",NY,10013
FitHouse - Union Square,20 West 14th Street,"New York,",NY,10011
Five Pillars Yoga,"1298 Madison Avenue, 2nd Fl.","New York,",NY,10128
Five Pillars Yoga Water Mill,720A Montauk Hwy,"Water Mill,",NY,11976
Fluid Fitness,"1026 Avenue of the Americas, 5th Floor","New York,",NY,10018
Forever Young Sports Spa,171 West 29TH St. 3rd Floor,"New York,",NY,10001
Forme Barre Fitness Armonk,111 Bedford Road,"Armonk,",NY,10504
Forme Barre Fitness Greenwich,141 West Putnam Avenue,"Greenwich,",CT,6830
Forme Barre Fitness New Canaan,18 Elm St.,"New Canaan,",CT,6840
Forme Barre Fitness Rye,220 Purchase St.,"Rye,",NY,10580
Go Row Training Studios,1422 Grand Street Suite 4B,"Hoboken,",NJ,07030
Gramercy Pilates NYC,"39 East 20th St., 2nd Fl","New York,",NY,10003
Harlem Cycle,2350 Adam Clayton Powell,"New York,",NY,10030
HIIT BOX,548 Union St,"Brooklyn,",NY,11215
Hot Spot Yoga,"28 Dooley St., 4th Floor","Brooklyn,",NY,11235
Hourglass Workout NYC,"37 West 26th St, Stepping Out Studios","New York,",NY,10010
House of Wellness,"4 Springville Rd., Unit #3","Hampton Bays,",NY,11946
Hudson Boxing Gym,406 Broadway Lower Level,"New York,",NY,10013
Hudson River Bike Rentals,Pier 78 - 455 12th Ave,"New York,",NY,10018
Humming Puppy,119 West 23rd Street Suite 200,"New York,",NY,10011
ICE NYC UES,330 East 59th Street,"New York,",NY,10022
IMX Pilates - Clifton,1425 Broad St. #4,"Clifton,",NJ,07013
IMX Pilates - New York,"265 Madison Ave, 2nd Fl","New York,",NY,10016
IncrediPole,145 Java St,"Brooklyn,",NY,11222
Intrepid Gym - Hoboken,51 Harrison Street,"HOBOKEN,",NJ,07030
Intrepid Gym - Jersey City,255 Brunswick Street Suite 2,"Jersey City,",NJ,07302
Intrepid Gym - Montclair,312 Bloomfield Avenue,"Montclair,",NJ,07042
ISHTA Yoga - Downtown,56 East 11th Street,"New York,",NY,10003
JABS Cutchogue,32845 Main Road,"Cutchogue,",NY,11935
JamzFit Club,Multiple Locations (See Class Titles),"New York,",NY,10018
Jane DO Flatiron,"24 West 23rd St, 2nd Floor","New York,",NY,10010
JC HIIT Club,911 Bergen Ave,"Jersey City,",NJ,07306
Jivamukti Yoga Jersey City,171 Newark Avenue,"Jersey City,",NJ,07302
Jivamukti Yoga School,841 Broadway,"New York,",NY,10003
Joffrey Ballet School,"434 Avenue of the Americas, 3rd Floor","New York,",NY,10011
JoyRide Darien,"Goodwives Shopping Center - 25 Old Kings Highway North, (Goodwives Shopping Center)","Darien,",CT,06820
JoyRide Westport,"1200 Post Road East, (Behind Crate &amp; Barrel) (Behind Crate & Barrel)","Westport,",CT,06880
JoyRide Wilton,3 Godfrey Place,"Wilton,",CT,06897
Just Like Om,147 West 25th Street #800,"New York,",NY,10001
Kettlebell Kickboxing,"412 Broadway, 2nd Floor","New York,",NY,10013
Killer Bodies,"344 West 38th St, BASEMENT Level","New York,",NY,10018
Krank Brooklyn,2 Prince St. 8FL (DOOR CODE:*800080#),"Brooklyn,",NY,11201
KRAV MAGA ACADEMY,"122 West 27th Street, Ground Floor","New York,",NY,10001
Laughing Lotus - New York,"636 Sixth Avenue, 3rd Floor (entrance on 19th St)","New York,",NY,10011
Let Me Be Great CrossFit,517 Communipaw Ave.,"Jersey City,",NJ,07304
Liftonic,13 Gansevoort Street Lower Level,"New York,",NY,10014
Loom Yoga Center,1087 Flushing Ave Shop #117,"Brooklyn,",NY,11237
Luminary NYC,1204 Broadway,"New York,",NY,10001
Mang'Oh Studio,322 East 39th Street,"New York,",NY,10016
Manhattan Kayak + SUP,555 12th Ave,"New York,",NY,10036
Maximum28,SOMA Williamsburg - 107 S 6th street,"Brooklyn,",NY,11249
M Dance & Fitness,"519 8th Ave, 12 Floor (and 3 other locations)","New York,",NY,10018
Medicine for the Soul Yoga,316 East 84th Street,"New York,",NY,10028
MICCASS Physical Therapy,246 Columbus Ave,"New York,",NY,10023
Mitchell Wayne Productions,"519 8th Avenue, 12th Floor","New York,",NY,10018
modelFIT,"212 Bowery 2nd Floor, Buzzer #1","New York,",NY,10012
Modo Yoga NYC - West Village,"434 6th Avenue, 2nd Floor","New York,",NY,10011
Modo Yoga NYC - Williamsburg,109 Metropolitan Avenue,"Brooklyn,",NY,11249
Moving Strength - East,1609 2nd Avenue 2nd Floor,"New York,",NY,10028
Moving Strength East - Yorkville,1488 York Avenue,"New York,",NY,10075
Moving Strength - West,212 West 79th Street 1c,"New York,",NY,10024
Mud and Lotus Training Center,226 East 89th Street First Floor,"New York,",NY,10128
Mushin Mixed Martial Arts,78 Fifth Avenue 2nd Floor,"New York,",NY,10011
Narayana Yoga Project,191 Nassau Avenue,"Brooklyn,",NY,11222
NEOU,420 5th Avenue #Cellar,"New York,",NY,10018
New Love City,68 Greenpoint Ave 4th Floor,"Brooklyn,",NY,11222
New Vibe Yoga,9 Saint Marks Place #2,"New York,",NY,10003
New York Pole Dancing,"217 Brook Ave, 3rd Floor (at 137th Street)","Bronx,",NY,10454
New York Yoga - 86th Street,1629 York Avenue,"New York,",NY,10028
New York Yoga - Hot Studio,"132 E. 85th St, 2nd Floor","New York,",NY,10028
Nimble Fitness - Union Square,42 E 12th St Ground Floor,"New York,",NY,10003
NNOWW Fitness,252-01 Northern blvd,"Little Neck,",NY,11362
Nomad East Fitness,460 Pantigo Road,"East Hampton,",NY,11937
NXT GEN Fitness & Performance Training,2 Channel Drive,"Port Washington,",NY,11050
NYC Pilates,2231 Broadway (Entrance @ 246 W 80th St),"New York,",NY,10024
NYC TWERKOUT,Multiple Locations (See Class Titles),"New York,",NY,10011
NY Loves Yoga,140 W 83rd Street,"NEW YORK,",NY,10024
NYSC Lab (BFX) - Chelsea,555 6th Avenue,"New York,",NY,10011
NYSC Lab (BFX) - UES,1231 3rd Ave,"New York,",NY,10021
One Ocean Yoga,1927 Scuttlehole Rd (Access is via the Channing Daughter’s Winery),"Bridgehampton,",NY,11932
Overthrow Boxing Brooklyn,256 Grand Street,"Brooklyn,",NY,11211
Overthrow Boxing Club,9 Bleecker St,"New York,",NY,10012
Paddle Diva,Shagwong Marina - 219 Three Mile Harbor Hog Creek Road,"East Hampton,",NY,(631) 329-2999
Park Slope Yoga Center,"837 Union Street, 2nd Floor","Brooklyn,",NY,11215
Pavana Yoga,251 1st Street,"Hoboken,",NJ,07030
Peloton,140 West 23rd Street,"New York,",NY,10011
Peloton Tread,152 Christopher St,"New York,",NY,10014
Peloton Yoga,152 Christopher St,"New York,",NY,10014
Physique 57 - 57th Street,"24 West 57th Street, Suite 805","New York,",NY,10019
Physique 57 - FiDi,55 Broadway Ste 1602,"New York,",NY,10006
Physique 57 - Spring Street,"180 Avenue of the Americas, (at Spring Street)","New York,",NY,10013
Physique 57 - Upper West Side,"2109 Broadway, Suite 206","New York,",NY,10023
Pilates By Sylvia - Bryant Park,16 West 37th Street FL 3,"New York,",NY,10018
Pilates By Sylvia - K-town,"39 West 32nd Street, Suite 903A","New York,",NY,10001
Pilates Habitat,192 Third Avenue,"New York,",NY,10003
Pilates On Fifth,501 5th Ave. Suite 2200,"New York,",NY,10017
Pilates on the Square,857 Broadway,"New York,",NY,10003
Pilates Reforming NJ,75 New Jersey 15,"Lafayette Township,",NJ,07848
Pilates Reforming NY - Inwood,5030 Broadway,"New York,",NY,10034
Pilates Reforming NY - Midtown,300 West 38th St #3E,"New York,",NY,10018
Pilates Reforming NY - Upper East Side,1462 1st Ave #2W,"New York,",NY,10075
PMT Dance Studio,"28 W 25th Street, 2nd floor","New York,",NY,10010
POE Brooklyn,90 Furman Street,"Brooklyn,",NY,11201
POE Fair Haven,772 River Road,"Fair Haven,",NJ,07704
Poe Far Hills,49 US Highway 202,"Far Hills,",NJ,07931
POE Short Hills,531 Millburn Avenue,"Short Hills,",NJ,07078
Pop Physique - Bowery,270 Bowery 2nd Floor,"New York,",NY,10012
Pop Physique - NoMad,31 W 26th Street,"New York,",NY,10010
Positively Pilates,720 Monroe Street,"Hoboken,",NJ,07030
Powerflow Yoga - Asbury Park,631 Lake Avenue,"Asbury Park,",NJ,07712
Powerflow Yoga - Bloomfield,71 Washington Street,"Bloomfield ,",NJ,07003
Powerflow Yoga - Chatham,254 Main Street,"Chatham Township,",NJ,07928
Powerflow Yoga - Clifton,1288 Van Houten Avenue,"Clifton,",NJ,07013
Powerflow Yoga - Glen Rock,530 South Broad Street,"Glen Rock,",NJ,07452
Powerflow Yoga - Hoboken,104 Hudson Street 5th floor,"Hoboken,",NJ,07030
Powerflow Yoga - Jersey City,160 Morgan Street Suite 5,"Jersey City,",NJ,07302
Powerflow Yoga - Livingston,155 South Livingston Avenue,"Livingston,",NJ,07039
Powerflow Yoga - Morristown,40 Market Street,"Morristown,",NJ,07960
Powerflow Yoga - Wayne,1428 New Jersey 23,"Wayne,",NJ,07470
Power Pilates,920 3rd Avenue,"New York,",NY,10022
Power Studios,920 3rd Avenue 5th Floor,"New York,",NY,10022
Prime Cycle,70 Hudson Street Lobby,"Hoboken,",NJ,07030
Progressive Pilates Williamsburg,169 Wythe Avenue,"Brooklyn,",NY,11249
Pure Barre Fairfield,1275 Post Road; Brick Walk,"Fairfield,",CT,06824
Pure Barre Westport,291 Post Road East; Playhouse Square,"Westport,",CT,06880
Push Fitness of Westchester,154 E Boston Post Road,"Mamaroneck,",NY,10543
PushLab Fitness,249 E 77th St,"New York,",NY,10075
Real Body Fit,1425 Broad Street,"Clifton,",NJ,07013
Red Zone @ NYSC Flagship,4 Astor Place,"New York,",NY,10003
Reflections Yoga,227 E 24th St,"New York,",NY,10010
Rei Pilates,115 Halstead Avenue,"Harrison,",NY,10528
Renaissance Pilates Hoboken,335 River Street,"Hoboken,",NJ,07030
Resilient Fitness,819 Madison Avenue,"New York,",NY,10065
RIOULT,"34-01 Steinway Street, 2nd floor","Astoria,,",NY,11101
RIPPED Fitness - NYC,1432 2nd Avenue,"New York,",NY,10021
RIPPED Fitness - Rye Brook,"Rye Ridge Shopping Center, 14 Rye Ridge Plaza, 2nd Floor","Rye Brook,",NY,10573
Rise Fitness,"22 Hollywood Ave, Suite 2","Ho-Ho-Kus,",NJ,07423
Rock 'N Ryde,1931 Washington Valley Rd.,"Martinsville,",NJ,08836
Rowgatta,31 W 14th Street,"New York City,",NY,10011
Row House - Chelsea,269 West 23rd Street 2nd Floor,"New York,",NY,10022
Row House - Columbus Circle,559 W 59th St Ground Floor,"New York,",NY,10019
RYDE Cycle,"52 East 13th Street, B/T University &amp; Broadway (bet University & Broadway)","New York,",NY,10003
Saraswati's Yoga Joint - Norwalk,1 North Water Street,"Norwalk,",CT,06850
SassClass,41 West 36th Street,"New York,",NY,10018
SevenBell Fitness,640 Dean Street,"Brooklyn,",NY,11238
S Factor New York,"235 West 23rd Street, 3rd Floor","New York,",NY,10011
Simply Fit Astoria,37-16 Astoria Blvd,"Astoria,",NY,11103
Sky Ting Yoga,"17 Allen St, 7th Floor","New York,",NY,10002
SKY TING YOGA - DOMINO,43 South 4th Street,"Brooklyn,",NY,11249
SKY TING YOGA - TRIBECA,381 Broadway 2nd Floor,"New York,",NY,10013
Spencer Pilates Arts,108-12 72nd ave 4th floor,"Forest hills,",NY,11375
Stanton Street Yoga,196 Stanton Street,"New York,",NY,10002
Stretch Relief - FiDi,26 Broadway 8th Floor,"New York ,",NY,10004
Structure Personal Fitness Midtown,443 Park Avenue South,"New York,",NY,10016
Structure Personal Fitness UES,147 East 72nd Street 2nd Fl,"New York,",NY,10021
Studio Maya NYC,603 Bergen Street Suite 103,"BROOKLYN,",NY,11238
SurfSET New York City,64 East 4th Street,"New York,",NY,10003
Sweat Factory,485 Springfield Avenue,"Summit,",NJ,07901
SweatShed,Crunch 59th St Location - 1109 2nd Ave,"New York,",NY,10022
SWERVE Fitness - Flatiron,30 West 18th Street,"New York,",NY,10011
SWERVE Fitness - Midtown,21 West 46th Street,"New York,",NY,10036
SWERVE Fitness - UES,166 E 67th St,"New York,",NY,10065
Synergy Fit,333 Passaic Ave #3,"Fairfield,",NJ,07004
Tabata Ultimate Fitness,623 Bergen Street,"Brooklyn,",NY,11238
Taylored Fitness,30-16 Steinway St,"Astoria,",NY,11106
Tennis In Manhattan,Multiple Locations - 1725 York Avenue 3G (See Class Titles),"New York,",NY,10128
Tennis World NYC,"1380 Riverside Dr, Manhattan, NY 10033","New York City,",NY,10001
The Bar Method - Cobble Hill,267 Pacific Street,"Brooklyn,",NY,11201
The Bar Method - Fairfield,85 Mill Plain Road Ste. V,"Fairfield,",CT,06824
The Bar Method - Hoboken,86 River Street,"Hoboken,",NJ,07030
The Bar Method - Williamsburg,97 North 10th Street Suite 2B,"Brooklyn,",NY,11249
The Fit Co,"39 West 56th Street, 4th Floor","New York,",NY,10019
The Happie House,30-05 35th Street 2F,"Astoria,",NY,11103
The Kickbox Haus NYC,227 East 81st Street,"New York,",NY,10028
The Muse,350 Moffat St.,"Brooklyn,",NY,11237
The Muse Gowanus,303 3rd Avenue,"Brooklyn,",NY,11215
The P.E. Club,"238 E. 75th Street, 1st Floor","New York,",NY,10021
The People's Bootcamp,939 8th Ave,"New York,",NY,10019
The Studio at Primary,26 Broadway 8th Floor,"New York,",NY,10004
The Studio at Primary Penn Station,251 West 30th Street Cellar Space (Downstairs),"New York,",NY,10001
The Studios at Pine Brook Fitness,130 Rhodes Street,"New Rochelle,",NY,10801
Thrive Fitness and Body Soul and Pole,333 Newark Street Neumann Building,"Hoboken,",NJ,07030
TITLE Boxing Club - Flatiron,"15 West 18th Street, 2nd Floor","New York,",NY,10011
TITLE Boxing Club - Midtown East,900 3rd Avenue,"New York,",NY,10022
TITLE Boxing Club - Midtown West,455 W. 37th Street,"New York,",NY,10018
Tone,"32-12 Broadway, 2nd Floor","Astoria,",NY,11106
TotalFusion,347 Halstead Avenue,"Harrison,",NY,10528
trampoLEAN,"Stepping Out Studios - 37 W 26th St, 9th Floor","New York,",NY,10010
TransformGST,"133 East 58th Street, Suite 902","New York,",NY,10022
TS Fitness,328 East 61st Street,"New York,",NY,10065
UFC Gym - SOHO,"277 Canal Street, 3rd Floor","New York,",NY,10013
unit 108 yoga,760 5th Avenue 2nd fl.,"Brooklyn,",NY,11232
